Time,AfricanRep1,AfricanRep2,AfricanRep3,AsianRep1,AsianRep2,AsianRep3
0,4475000,912500,51875,950000,278750,39500
6,3500000,1312500,33875,675000,93125,14000
12,2200000,600000,35000,631250,97500,32125
18,1950000,305000,27000,390000,71250,19750
24,1600000,256250,16750,240000,35000,7875
36,555000,126875,10187.5,135000,15500,9150
48,337500,137500,3950,45000,9375,1143.75
60,295000,58750,2100,20750,1950,745
72,132500,23750,1325,17500,1350,680
