"","cId","MOI","Strain","Time","E1","E2","NS1","NS2","Actual.Time"
"1","Vero.1.1.11.45","10","PRVABC59",3,24.0980392156863,5.2296573875803,38.1176470588235,7.32601713062099,0
"2","Vero.1.1.120.17","10","PRVABC59",4,90.8265895953757,32.2042370076134,27.7687861271676,10.5402184707051,4
"3","Vero.1.1.90.12","10","PRVABC59",4,110.229813664596,44.6070736434108,29.6459627329193,10.3551356589147,4
"4","Vero.1.1.99.12","10","PRVABC59",4,101.725925925926,24.3578238923163,37.1333333333333,9.8945597307908,4
"5","Vero.1.1.0.12","10","PRVABC59",5,102.146814404432,12.3480038480038,37.7783933518006,3.25541125541126,8
"6","Vero.1.1.0.17","10","PRVABC59",5,131.339108910891,62.2127429805616,51.1089108910891,20.6911447084233,8
"7","Vero.1.1.0.18","10","PRVABC59",5,64.032967032967,16.2432521395655,37.5164835164835,8.92297564186965,8
"8","Vero.1.1.0.21","10","PRVABC59",5,243.178947368421,189.686723602484,94.9052631578947,55.9747670807453,8
"9","Vero.1.1.0.27","10","PRVABC59",5,100.478260869565,89.8845401174168,50.8695652173913,48.1223091976517,8
"10","Vero.1.1.0.4","10","PRVABC59",5,61.3963963963964,27.3213345039508,35.045045045045,17.1829089844893,8
"11","Vero.1.1.0.44","10","PRVABC59",5,127.297777777778,30.1791954490045,83.2755555555556,18.1759447379114,8
"12","Vero.1.1.0.51","10","PRVABC59",5,74.5859872611465,14.2669891730016,45.0955414012739,5.7219534669431,8
"13","Vero.1.1.0.55","10","PRVABC59",5,263.283636363636,69.2441558441558,157.785454545455,36.4393939393939,8
"14","Vero.1.1.0.60","10","PRVABC59",5,55.8684210526316,2.18914883026381,28.8684210526316,2.06570433051269,8
"15","Vero.1.1.0.63","10","PRVABC59",5,173.662027833002,119.73491773309,166.840954274354,101.15310786106,8
"16","Vero.1.1.0.65","10","PRVABC59",5,65.5851063829787,25.8333333333333,33.2978723404255,12.0835421888053,8
"17","Vero.1.1.1.1","10","PRVABC59",5,78.5087719298246,24.5031746031746,56.6140350877193,17.895873015873,8
"18","Vero.1.1.1.16","10","PRVABC59",5,114.196652719665,10.9348781462245,71.9539748953975,6.80623252097483,8
"19","Vero.1.1.1.17","10","PRVABC59",5,199.452442159383,43.5682281059063,42.3521850899743,8.04412763068568,8
"20","Vero.1.1.1.21","10","PRVABC59",5,96.2301369863014,17.6169865990583,46.013698630137,7.02680188337559,8
"21","Vero.1.1.1.22","10","PRVABC59",5,149.724637681159,55.8463187991422,60.8695652173913,21.0450321658327,8
"22","Vero.1.1.1.23","10","PRVABC59",5,189.221656050955,41.8302270416808,102.08025477707,26.6404608607252,8
"23","Vero.1.1.1.24","10","PRVABC59",5,153.637931034483,54.6222996515679,121.818965517241,44.6571428571429,8
"24","Vero.1.1.1.26","10","PRVABC59",5,96.8901098901099,91.2682410997533,59.4010989010989,62.5044060627423,8
"25","Vero.1.1.1.28","10","PRVABC59",5,99.1259259259259,4.83076579593659,57.5777777777778,2.8780977896852,8
"26","Vero.1.1.1.30","10","PRVABC59",5,43.780487804878,6.32708333333333,45.9024390243902,3.63194444444444,8
"27","Vero.1.1.1.32","10","PRVABC59",5,174.356060606061,17.8516992790937,123.579545454545,12.0084963954686,8
"28","Vero.1.1.1.41","10","PRVABC59",5,147.870503597122,2.27044312471448,117.597122302158,10.1502969392417,8
"29","Vero.1.1.1.44","10","PRVABC59",5,194.192771084337,48.8779239766082,98.0626506024096,20.530701754386,8
"30","Vero.1.1.1.48","10","PRVABC59",5,76.5,11.8153564899452,46.03125,8.15173674588666,8
"31","Vero.1.1.1.52","10","PRVABC59",5,92.4858490566038,17.2877967513536,49.1603773584906,10.71345272803,8
"32","Vero.1.1.1.58","10","PRVABC59",5,79.1969696969697,18.0439588043205,26.5606060606061,3.13966340115549,8
"33","Vero.1.1.1.59","10","PRVABC59",5,121.479820627803,79.9510366122629,49.762331838565,31.9911777679753,8
"34","Vero.1.1.1.60","10","PRVABC59",5,116.225641025641,7.1350183624973,56.225641025641,6.15230071289695,8
"35","Vero.1.1.1.64","10","PRVABC59",5,114.633838383838,23.4231271777003,92.1338383838384,13.7075348432056,8
"36","Vero.1.1.1.7","10","PRVABC59",5,70.469387755102,8.19481921208851,42.4285714285714,2.04695089044792,8
"37","Vero.1.1.1.70","10","PRVABC59",5,110.752186588921,60.2728272827283,96.8396501457726,53.1182618261826,8
"38","Vero.1.1.1.72","10","PRVABC59",5,105.056603773585,53.1381050699702,59.372641509434,23.6646019729296,8
"39","Vero.1.1.1.8","10","PRVABC59",5,65.9106145251397,45.5673076923077,49.7932960893855,35.7467948717949,8
"40","Vero.1.1.10.25","10","PRVABC59",5,43.3157894736842,28.5549678881753,40.9473684210526,25.5096335474122,8
"41","Vero.1.1.10.26","10","PRVABC59",5,56.38,30.63643380934,31.2,19.3373214974913,8
"42","Vero.1.1.10.33","10","PRVABC59",5,128.694573643411,45.600731261426,67.5178294573643,21.9254113345521,8
"43","Vero.1.1.10.34","10","PRVABC59",5,86.0234375,44.6888604353393,51.703125,20.6350832266325,8
"44","Vero.1.1.10.37","10","PRVABC59",5,94.2016806722689,30.198608137045,50.3529411764706,16.3463597430407,8
"45","Vero.1.1.10.45","10","PRVABC59",5,108.589743589744,4.57153392330383,64.3931623931624,5.25811209439528,8
"46","Vero.1.1.10.49","10","PRVABC59",5,75.4294871794872,3.58336697618086,36.8076923076923,0.31893419459023,8
"47","Vero.1.1.10.55","10","PRVABC59",5,100.636942675159,22.6040802213001,65.3630573248408,11.6932918395574,8
"48","Vero.1.1.10.6","10","PRVABC59",5,83.7904411764706,18.8402230340319,32.4669117647059,7.08882907133244,8
"49","Vero.1.1.10.65","10","PRVABC59",5,63.3984375,76.7240740740741,87.7734375,74.0126543209877,8
"50","Vero.1.1.10.69","10","PRVABC59",5,92.5390334572491,13.8494959193471,43.2639405204461,6.2753240518483,8
