"","cId","MOI","Strain","Time","E1","E2","NS1","NS2","Actual.Time"
"1","Vero.0.0.15.59","0.001","VR1838",3,149.605063291139,34.420137750082,47.3063291139241,15.606100360774,0
"2","Vero.0.0.33.59","0.001","VR1838",3,165.22962962963,55.4756464221287,46.1703703703704,19.3794347564642,0
"3","Vero.0.0.5.59","0.001","VR1838",3,151.725609756098,35.9225936728741,40.2378048780488,13.5297285169396,0
"4","Vero.0.0.580.5","0.001","VR1838",3,40.5,28.6977886977887,82.75,60.1425061425061,0
"5","Vero.0.0.6.59","0.001","VR1838",3,129.378109452736,67.2271648873072,41.3134328358209,24.1192170818505,0
"6","Vero.0.0.0.46","0.001","VR1838",0,101,20.3937153419593,145.526548672566,27.0318853974122,12
"7","Vero.0.0.103.51","0.001","VR1838",0,25.3448275862069,12.3309759547383,44.8965517241379,19.3861386138614,12
"8","Vero.0.0.128.68","0.001","VR1838",0,256.890965732087,158.61079398028,182.115264797508,101.953814218993,12
"9","Vero.0.0.16.46","0.001","VR1838",0,66.06,71.4657643312102,115.306666666667,76.2607484076433,12
"10","Vero.0.0.220.45","0.001","VR1838",0,54.5277777777778,21.6382978723404,70.9861111111111,29.0704491725768,12
"11","Vero.0.0.223.28","0.001","VR1838",0,103.22619047619,115.388034188034,41.0952380952381,53.9641025641026,12
"12","Vero.0.0.226.43","0.001","VR1838",0,73.7441860465116,43.278162055336,47.7093023255814,35.1729249011858,12
"13","Vero.0.0.238.3","0.001","VR1838",0,79.9640287769784,25.7431842966194,47.4892086330935,17.0278080697928,12
"14","Vero.0.0.245.46","0.001","VR1838",0,120.798780487805,72.243798724309,160.875,80.2090715804394,12
"15","Vero.0.0.252.21","0.001","VR1838",0,115.475609756098,42.600790513834,119.225609756098,23.8458498023715,12
"16","Vero.0.0.257.58","0.001","VR1838",0,74,33.9718614718615,62.1111111111111,30.6623376623377,12
"17","Vero.0.0.268.20","0.001","VR1838",0,149.596858638743,104.147773279352,86.3324607329843,71.4726720647773,12
"18","Vero.0.0.296.32","0.001","VR1838",0,90.0681818181818,40.8826170622194,67.7651515151515,36.2822322001283,12
"19","Vero.0.0.309.23","0.001","VR1838",0,79.1071428571429,49.5067466266867,91.375,44.5937031484258,12
"20","Vero.0.0.311.39","0.001","VR1838",0,58.3649635036496,25.7416719044626,99.5328467153285,52.9258328095537,12
"21","Vero.0.0.319.14","0.001","VR1838",0,36.469696969697,6.12460567823344,43.5909090909091,12.5841219768665,12
"22","Vero.0.0.323.58","0.001","VR1838",0,81.7763157894737,3.65769593956563,61.4078947368421,5.28186968838527,12
