"","cId","MOI","Strain","Time","E1","E2","NS1","NS2","Actual.Time"
"1","Vero.0.1.13.40","0.001","PRVABC59",3,114.06862745098,72.3985307621671,35.6666666666667,22.3443526170799,0
"2","Vero.0.1.215.7","0.001","PRVABC59",3,37.3333333333333,-1.05139186295503,42,7.55032119914347,0
"3","Vero.0.1.311.40","0.001","PRVABC59",3,92.4774193548387,13.3352808988764,25.7225806451613,5.30247191011236,0
"4","Vero.0.1.614.2","0.001","PRVABC59",3,43.9565217391304,30.7956043956044,92.6086956521739,41.9098901098901,0
"5","Vero.0.1.76.18","0.001","PRVABC59",4,24.9367088607595,24.1077586206897,195.240506329114,15.8922413793103,4
"6","Vero.0.1.22.61","0.001","PRVABC59",5,87.453125,46.100081366965,27.921875,15.8462164361269,8
"7","Vero.0.1.0.31","0.001","PRVABC59",0,79.6086956521739,8.27640156453716,63.8086956521739,3.90547588005215,12
"8","Vero.0.1.148.11","0.001","PRVABC59",0,152.435483870968,73.2437379576108,111.516129032258,57.257225433526,12
"9","Vero.0.1.164.38","0.001","PRVABC59",0,78.4204545454545,33.8058712121212,46.9204545454545,21.5104166666667,12
"10","Vero.0.1.172.7","0.001","PRVABC59",0,250.684931506849,52.4835025380711,182.041095890411,39.5672588832487,12
"11","Vero.0.1.177.6","0.001","PRVABC59",0,34.734375,31.9116432700248,905.5703125,162.748967795211,12
"12","Vero.0.1.177.7","0.001","PRVABC59",0,124.106060606061,11.692254969157,96.9393939393939,9.60657984921179,12
"13","Vero.0.1.182.7","0.001","PRVABC59",0,212.469696969697,126.866748920419,142.590909090909,86.3904996915484,12
"14","Vero.0.1.188.73","0.001","PRVABC59",0,65.8947368421053,33.959168241966,53.3308270676692,28.9474480151229,12
"15","Vero.0.1.190.34","0.001","PRVABC59",0,61.311320754717,19.0929009640666,33.1415094339623,10.3628396143734,12
"16","Vero.0.1.257.55","0.001","PRVABC59",0,31.6458333333333,31.6850828729282,45.4791666666667,30.0582621798091,12
"17","Vero.0.1.290.12","0.001","PRVABC59",0,97.546511627907,88.0950639853748,76.3372093023256,52.2736136502133,12
"18","Vero.0.1.327.11","0.001","PRVABC59",0,108.788617886179,75.8220164609053,81.9918699186992,57.3220164609054,12
"19","Vero.0.1.329.31","0.001","PRVABC59",0,113.139489194499,46.4176394293126,82.1748526522593,34.7769130998703,12
"20","Vero.0.1.332.19","0.001","PRVABC59",0,85.469512195122,39.3253307202352,37.3170731707317,19.6482116609505,12
"21","Vero.0.1.365.29","0.001","PRVABC59",0,192.183168316832,120.705882352941,125.037128712871,78.3016042780749,12
"22","Vero.0.1.404.29","0.001","PRVABC59",0,145.500578034682,122.340694006309,79.950289017341,66.9629337539432,12
"23","Vero.0.1.1.16","0.001","PRVABC59",1,177.987868284229,66.8899173553719,137.51993067591,50.4978512396694,24
"24","Vero.0.1.1.40","0.001","PRVABC59",1,123.988738738739,282.855029585799,130.198198198198,242.56607495069,24
"25","Vero.0.1.1.50","0.001","PRVABC59",1,178.137206427689,81.1387583892617,140.777503090235,63.2486577181208,24
"26","Vero.0.1.102.15","0.001","PRVABC59",1,97.5945945945946,63.7615947925142,58.6959459459459,43.2652563059398,24
"27","Vero.0.1.102.35","0.001","PRVABC59",1,110.139896373057,40.1095435684647,182.248704663212,73.3701244813278,24
"28","Vero.0.1.103.10","0.001","PRVABC59",1,505.392390011891,443.31669114048,447.288941736029,379.25599608419,24
"29","Vero.0.1.103.7","0.001","PRVABC59",1,87.9333333333333,42.9879275653924,93.7925925925926,47.9429912810195,24
"30","Vero.0.1.104.27","0.001","PRVABC59",1,72.9895833333333,23.78375,62.09375,22.07625,24
"31","Vero.0.1.108.69","0.001","PRVABC59",1,270.55668358714,135.136165577342,131.011844331641,69.2076978939724,24
"32","Vero.0.1.11.50","0.001","PRVABC59",1,107.12109375,104.158341187559,108.541666666667,99.3713477851084,24
"33","Vero.0.1.110.25","0.001","PRVABC59",1,40.8947368421053,17.3069472277889,33.6842105263158,11.4629258517034,24
"34","Vero.0.1.110.52","0.001","PRVABC59",1,401.306220095694,210.302211302211,395.875598086124,190.254545454545,24
"35","Vero.0.1.110.55","0.001","PRVABC59",1,55.8409961685824,80.4987080103359,170.022988505747,240.538759689922,24
"36","Vero.0.1.115.73","0.001","PRVABC59",1,57.8867924528302,7.26747503566334,34.0377358490566,9.68830242510699,24
"37","Vero.0.1.116.42","0.001","PRVABC59",1,220.53743315508,58.8177519097854,83.7593582887701,21.2553655874864,24
"38","Vero.0.1.118.1","0.001","PRVABC59",1,142.604316546763,70.7710900473934,159.098321342926,62.7824644549763,24
"39","Vero.0.1.120.28","0.001","PRVABC59",1,372.085106382979,188.745683930943,205.904255319149,126.148738379814,24
"40","Vero.0.1.120.48","0.001","PRVABC59",1,143.057591623037,32.8348861283644,167.070680628272,40.5351966873706,24
"41","Vero.0.1.123.11","0.001","PRVABC59",1,127.08064516129,107.670758928571,134.110215053763,121.490513392857,24
"42","Vero.0.1.125.10","0.001","PRVABC59",1,274.202090592335,445.111538461538,236.799651567944,372.821153846154,24
"43","Vero.0.1.125.31","0.001","PRVABC59",1,89.8805970149254,29.0371694067191,56.5074626865672,18.8741958541816,24
"44","Vero.0.1.126.12","0.001","PRVABC59",1,541.897738446411,270.954449599325,201.602753195674,103.91438211725,24
"45","Vero.0.1.128.73","0.001","PRVABC59",1,271.066282420749,93.4781130471738,178.491354466859,66.2311942201445,24
"46","Vero.0.1.130.50","0.001","PRVABC59",1,83.8767123287671,45.5097955706985,80.1095890410959,43.9787052810903,24
"47","Vero.0.1.130.64","0.001","PRVABC59",1,488.489643744822,334.115900383142,314.396023198012,221.081417624521,24
"48","Vero.0.1.132.60","0.001","PRVABC59",1,499.496960486322,344.751749691231,258.185410334346,201.95924248662,24
